dot,lat,long
0,-93.00,8.10
1,-93.10,8.10
2,-93.20,8.10
3,-93.30,8.09
4,-93.40,8.10
5,-93.50,8.15
6,-93.60,8.20
7,-93.70,8.21
8,-93.80,8.20
9,-93.90,8.20
10,-94.00,8.20
11,-94.09,8.19
12,-94.20,8.20
13,-94.35,8.24
14,-94.50,8.30
15,-94.61,8.35
16,-94.70,8.40
17,-94.80,8.45
18,-94.90,8.50
19,-95.00,8.55
20,-95.10,8.60
21,-95.19,8.63
22,-95.30,8.70
23,-95.45,8.84
24,-95.60,9.00
25,-95.69,9.15
26,-95.80,9.30
27,-95.99,9.47
28,-96.20,9.60
29,-96.36,9.63
30,-96.50,9.60
31,-96.67,9.55
32,-96.80,9.50
33,-96.84,9.49
34,-96.80,9.50
35,-96.63,9.48
36,-96.50,9.50
37,-96.56,9.62
38,-96.70,9.80
39,-96.78,9.97
40,-96.90,10.20
41,-97.09,10.52
42,-97.23,10.83
43,-97.17,11.03
44,-97.10,11.20
45,-97.23,11.41
46,-97.40,11.70
47,-97.45,12.14
48,-97.50,12.60
49,-97.65,12.98
50,-97.87,13.30
51,-98.11,13.59
52,-98.37,13.87
53,-98.58,14.16
54,-98.80,14.43
55,-99.06,14.65
56,-99.30,14.90
57,-99.47,15.26
58,-99.60,15.70
59,-99.74,16.18
60,-99.90,16.70
61,-100.15,17.26
62,-100.40,17.80
63,-100.57,18.27
64,-100.70,18.70
