producto,marca,precio,tienda,fecha_consulta,busqueda
aceite 123 vegetal 123 1l,123,47,chedraui acapulco costera,37:46.6,aceite
aceite patrona mixto 1 l,patrona,45,chedraui acapulco costera,37:46.6,aceite
aceite oliva selecto brand puro de orujo pet 1l,selecto brand,132,chedraui acapulco costera,37:46.6,aceite
aceite en aerosol pam  antiadherente original 1...,,69,Bodega Aurrera Chilpancingo Norte,38:19.9,aceite
aceite vegetal 123  1 l,,45,Bodega Aurrera Chilpancingo Norte,38:19.9,aceite
aceite vegetal patrona  1 l,,45,Bodega Aurrera Chilpancingo Norte,38:19.9,aceite
aceite de oliva great value  amarillo 1 l...,,145,Bodega Aurrera Chilpancingo Norte,38:19.9,aceite
aceite 123 vegetal 123 1l,123,51,super chedraui teloloapan,39:04.6,aceite
aceite oliva selecto brand puro de orujo pet 1l,selecto brand,132,super chedraui teloloapan,39:04.6,aceite
arroz great value  a la mexicana 155 g,,26.5,Bodega Aurrera Chilpancingo Norte,40:22.7,arroz
arroz precocido great value  a la poblana 155 g...,,26.5,Bodega Aurrera Chilpancingo Norte,40:22.7,arroz
arroz sos  grano grueso súper extra 750 g...,,24,Bodega Aurrera Chilpancingo Norte,40:22.7,arroz
arroz la moderna  primavera 160 g,,25,Bodega Aurrera Chilpancingo Norte,40:22.7,arroz
arroz sos  grueso súper extra 1 kg,,32.5,Bodega Aurrera Chilpancingo Norte,40:22.7,arroz
arroz verde valle  precocido tomate 140 g...,,25,Bodega Aurrera Chilpancingo Norte,40:22.7,arroz
arroz schettino verde 900g,schettino,20,super chedraui teloloapan,41:07.9,arroz
arroz sos grano grueso 750g,sos,24,super chedraui teloloapan,41:07.9,arroz
arroz la merced super extra 900g,la merced,24.5,super chedraui teloloapan,41:07.9,arroz
arroz sos grano largo 750g,sos,21,super chedraui teloloapan,41:07.9,arroz
arroz schettino grano largo 750g,schettino,16.9,super chedraui teloloapan,41:07.9,arroz
arroz precocido verde valle integral 250g,verde valle,39,super chedraui teloloapan,41:07.9,arroz
arroz el patron mexicanogano largo,el patron,10,super chedraui teloloapan,41:07.9,arroz
arroz grano largo campo dorado 900g,campo dorado,23.9,super chedraui teloloapan,41:07.9,arroz
arroz integal campo dorado 900g.,campo dorado,29.9,super chedraui teloloapan,41:07.9,arroz
